code	name_ar	name_fr	name_en	wilaya_code
1406	عين الذهب	AIN DEHEB	AIN DEHEB	14
1928	عين ولمان	AIN OULMENE	AIN OULMENE	19
4124	وادي الكبريت	OUED KEBRIT	OUED KEBRIT	41
1309	جبالة	DJEBALA	DJEBALA	13
4409	بوراشد	BOURACHED	BOURACHED	44
120	المطارفة	METARFA	METARFA	1
2307	الشرفة	CHEURFA	CHEURFA	23
1552	بني يني	BENI-YENNI	BENI-YENNI	15
1225	بولحاف الدير	BOULHAF DYR	BOULHAF DYR	12
1828	وجانة	OUDJANA	OUDJANA	18
2426	هيليوبوليس	HELIOPOLIS	HELIOPOLIS	24
1544	أقرو	AKERROU	AKERROU	15
4106	تيفاش	TIFFECH	TIFFECH	41
4711	حاسي الفحل	HASSI FEHAL	HASSI FEHAL	47
209	حرشون	HARCHOUN	HARCHOUN	2
3907	كوينين	KOUININE	KOUININE	39
2208	سيدي علي بوسيدي	SIDI ALI BOUSSIDI	SIDI ALI BOUSSIDI	22
3903	وادي العلندة	OUED EL ALENDA	OUED EL ALENDA	39
1721	قرنيني	GUERNINI	GUERNINI	17
1351	منصورة	MANSOURAH	MANSOURAH	13
1425	السبعين	SEBAINE	SEBAINE	14
4829	لحلاف	LAHLEF	LAHLEF	48
2409	الدهوارة	DAHOUARA	DAHOUARA	24
4832	دار بن عبد الله	DAR BEN ABDELAH	DAR BEN ABDELAH	48
1550	مقــلع	MEKLA	MEKLA	15
2937	بوهني	BOU HENNI	BOU HENNI	29
1537	أزفون	AZEFFOUN	AZEFFOUN	15
3521	أولاد عيسى	OULED AISSA	OULED AISSA	35
4504	تيوت	TIOUT	TIOUT	45
4102	سدراتة	SEDRATA	SEDRATA	41
533	وادي الماء	OUED EL MA	OUED EL MA	5
4812	زمورة	ZEMMOURA	ZEMMOURA	48
545	عين التوتة	AIN TOUTA	AIN TOUTA	5
3012	حاسي بن عبد الله	HASSI BEN ABDELLAH	HASSI BEN ABDELLAH	30
537	وادي الشعبة	OUED CHAABA	OUED CHAABA	5
516	أريس	ARRIS	ARRIS	5
1636	بئر توتة	BIR TOUTA	BIR TOUTA	16
809	مشرع هواري بومدين	MACHRAA-HOUARI-BOUMEDIENE	MACHRAA-HOUARI-BOUMEDIENE	8
3812	أولاد بسام	OULED BESSAM	OULED BESSAM	38
1433	وادي ليلي	OUED LILLI	OUED LILLI	14
308	تاجموت	TADJEMOUT	TADJEMOUT	3
1213	العقلة	EL OGLA	EL OGLA	12
231	بوزغاية	BOUZEGHAIA	BOUZEGHAIA	2
4608	تارقة	TERGA	TERGA	46
426	الرحية	RAHIA	RAHIA	4
1950	حمام قرقور	HAMMAM GUERGOUR	HAMMAM GUERGOUR	19
620	درقينة	DARGUINA	DARGUINA	6
2643	عوامري	OUAMRI	OUAMRI	26
2001	سعيدة	SAIDA	SAIDA	20
1022	أهل القصر	AHL EL KSAR	AHL EL KSAR	10
701	بسكرة	BISKRA	BISKRA	7
1953	بني وسين	BENI OUSSINE	BENI OUSSINE	19
1204	سطح قنطيس	STAH GUENTIS	STAH GUENTIS	12
4813	بني درقن	BENI DERGOUN	BENI DERGOUN	48
4123	خميسة	KHEMISSA	KHEMISSA	41
117	دلدول	DELDOUL	DELDOUL	1
725	مليلي	M'LILI	M'LILI	7
2720	سيرات	SIRAT	SIRAT	27
4610	تامزورة	TAMZOURA	TAMZOURA	46
4101	سوق أهراس	SOUK AHRAS	SOUK AHRAS	41
1102	ابلسة	ABELSA	ABELSA	11
1814	قاوس	KAOUS	KAOUS	18
2730	صفصاف	SAFSAF	SAFSAF	27
4404	خميس مليانة	KHEMIS-MILIANA	KHEMIS-MILIANA	44
3622	وادي الزيتون	OUED ZITOUN	OUED ZITOUN	36
1637	سيدي موسى	SIDI MOUSSA	SIDI MOUSSA	16
3702	أم العسل	OUM EL ASSEL	OUM EL ASSEL	37
428	أولاد قاسم	OULED GACEM	OULED GACEM	4
2828	أولاد منصور	OULED MANSOUR	OULED MANSOUR	28
2616	الحمدانية	EL HAMDANIA	EL HAMDANIA	26
1959	الولجة	EL-OULDJA	EL-OULDJA	19
4125	ترقالت	TERRAGUELT	TERRAGUELT	41
3123	مسرغين	MESSERGHIN	MESSERGHIN	31
1717	مسعد	MESSAAD	MESSAAD	17
4430	المخاطرية	MEKHATRIA	MEKHATRIA	44
4433	عين بويحيى	AIN-BOUYAHIA	AIN-BOUYAHIA	44
2402	نشماية	NECHMAYA	NECHMAYA	24
918	وادي جر	OUED  DJER	OUED  DJER	9
2644	سي المحجوب	SI MAHDJOUB	SI MAHDJOUB	26
1306	صبرة	SABRA	SABRA	13
1003	قرومة	GUERROUMA	GUERROUMA	10
118	سالي	SALI	SALI	1
2134	بوشطاطة	BOUCHETATA	BOUCHETATA	21
4104	المشروحة	MACHROHA	MACHROHA	41
4121	سافل الويدان	SAFEL EL OUIDEN	SAFEL EL OUIDEN	41
3202	رقاصة	ROGASSA	ROGASSA	32
1214	بئر الذهب	BIR DHEHEB	BIR DHEHEB	12
1708	بيرين	BIRINE	BIRINE	17
546	حيدوسة	HIDOUSSA	HIDOUSSA	5
317	تاويالة	TAOUIALA	TAOUIALA	3
1423	سيدي حسني	SIDI HOSNI	SIDI HOSNI	14
203	بنايرية	BENAIRIA	BENAIRIA	2
1644	زرالدة	ZERALDA	ZERALDA	16
4802	وادي رهيو	OUED-RHIOU	OUED-RHIOU	48
2701	مستغانم	MOSTAGANEM	MOSTAGANEM	27
1532	بني دوالة	BENI-DOUALA	BENI-DOUALA	15
559	بومية	BOUMIA	BOUMIA	5
1710	زكار	ZACCAR	ZACCAR	17
501	باتنة	BATNA	BATNA	5
2203	سيدي ابراهيم	SIDI BRAHIM	SIDI BRAHIM	22
128	تيمياوين	TIMIAOUINE	TIMIAOUINE	1
1556	أيت يحي موسى	AIT YAHIA MOUSSA	AIT YAHIA MOUSSA	15
730	مخادمة	MEKHADMA	MEKHADMA	7
2817	عين الحجل	AIN EL HADJEL	AIN EL HADJEL	28
4411	العبادية	EL-ABADIA	EL-ABADIA	44
2130	فلفلة	FILFILA	FILFILA	21
2624	بعطة	BAATA	BAATA	26
4407	جليدة	DJELIDA	DJELIDA	44
802	عرق فراج	ERG-FERRADJ	ERG-FERRADJ	8
2846	ولتام	OULTEME	OULTEME	28
547	ثنية العابد	TENIET EL ABED	TENIET EL ABED	5
2131	الشرايع	CHERAIA	CHERAIA	21
3904	البياضة	BAYADHA	BAYADHA	39
2607	العمارية	EL OMARIA	EL OMARIA	26
3618	الشط	ECHATT	ECHATT	36
415	عين الديس	AIN DISS	AIN DISS	4
215	الهرانفة	HERENFA	HERENFA	2
3510	زموري	ZEMMOURI	ZEMMOURI	35
103	شروين	CHAROUINE	CHAROUINE	1
3430	عين تسرة	AIN TESRA	AIN TESRA	34
535	بوزينة	BOUZINA	BOUZINA	5
224	الشطية	CHETTIA	CHETTIA	2
2646	بني سليمان	BENI SLIMANE	BENI SLIMANE	26
4019	يابوس	YABOUS	YABOUS	40
115	فنوغيل	FENOUGHIL	FENOUGHIL	1
3814	اليوسفية	YOUSSOUFIA	YOUSSOUFIA	38
3507	الناصرية	NACIRIA	NACIRIA	35
616	أمالو	AMALOU	AMALOU	6
414	الجازية	EL DJAZIA	EL DJAZIA	4
4625	ولهاصة الغرابة	OULHACA EL GHERABA	OULHACA EL GHERABA	46
1945	تاشودة	TACHOUDA	TACHOUDA	19
4415	واد الجمعة	OUED DJEMAA	OUED DJEMAA	44
2933	فراقيق	FERRAGUIG	FERRAGUIG	29
4012	جلال	DJELLAL	DJELLAL	40
3115	المرسى الكبير	MERS EL KEBIR	MERS EL KEBIR	31
1007	ديرة	DIRAH	DIRAH	10
2501	قسنطينة	CONSTANTINE	CONSTANTINE	25
1039	المعمورة	MAAMORA	MAAMORA	10
4618	عين الطلبة	AIN TOLBA	AIN TOLBA	46
4612	سيدي بن عدة	SIDI BEN ADDA	SIDI BEN ADDA	46
532	بني فضالة الحقانية	BENI FOUDHALA EL HAKANIA	BENI FOUDHALA EL HAKANIA	5
1432	تاقدمت	TAGDEMPT	TAGDEMPT	14
3619	زريزر	ZERIZER	ZERIZER	36
2133	الغدير	EL GHEDIR	EL GHEDIR	21
1821	أولاد يحيى خدروش	OULED YAHIA KHADROUCH	OULED YAHIA KHADROUCH	18
534	تالخمت	TALKHAMT	TALKHAMT	5
3409	برج الغدير	BORDJ GHEDIR	BORDJ GHEDIR	34
640	القصر	EL KSEUR	EL KSEUR	6
1529	معـــاتقة	MAATKAS	MAATKAS	15
1330	مسيردة الفواقة	M'SIRDA FOUAGA	M'SIRDA FOUAGA	13
1416	السوقر	SOUGUEUR	SOUGUEUR	14
1728	زعفران	ZAAFRANE	ZAAFRANE	17
1343	البويهي	BOUIHI	BOUIHI	13
3009	الزاوية العابدية	ZAOUIA EL ABIDIA	ZAOUIA EL ABIDIA	30
1032	ريدان	RIDANE	RIDANE	10
211	سيدي عكاشة	SIDI AKKACHA	SIDI AKKACHA	2
2236	سيدي دحو الزاير	SIDI DAHOU ZAIRS	SIDI DAHOU ZAIRS	22
1622	ابن عكنون	BEN AKNOUN	BEN AKNOUN	16
4223	سيدي راشد	SIDI RACHED	SIDI RACHED	42
1906	عين الروى	AIN-ROUA	AIN-ROUA	19
4708	زلفانة	ZELFANA	ZELFANA	47
1826	برج الطهر	BORDJ T'HAR	BORDJ T'HAR	18
920	بوعرفة	BOUARFA	BOUARFA	9
4214	شرشال	CHERCHELL	CHERCHELL	42
1321	العزايل	AZAIL	AZAIL	13
606	تامقرة	TAMOKRA	TAMOKRA	6
4622	عين الكيحل	AIN KIHAL	AIN KIHAL	46
729	بوشقرون	BOUCHAKROUN	BOUCHAKROUN	7
2244	تغاليمت	TEGHALIMET	TEGHALIMET	22
1438	سيدي عبد الرحمن	SIDI ABDERRAHMANE	SIDI ABDERRAHMANE	14
3910	تغزوت	TAGHZOUT	TAGHZOUT	39
4823	القلعة	KALAA	KALAA	48
3122	سيدي بن يبقى	SIDI BEN YEBKA	SIDI BEN YEBKA	31
2723	منصورة	MANSOURAH	MANSOURAH	27
2631	سيدي دامد	SIDI DEMED	SIDI DEMED	26
309	الخنق	KHENEG	KHENEG	3
4418	الحسانية	HASSANIA	HASSANIA	44
3408	عين تاغروت	AIN TAGHROUT	AIN TAGHROUT	34
232	عين مران	AIN MERANE	AIN MERANE	2
4206	خميستي	KHEMISTI	KHEMISTI	42
1546	بني زيكــي	BENI-ZIKKI	BENI-ZIKKI	15
2108	بن عزوز	BEN AZZOUZ	BEN AZZOUZ	21
2241	سيدي حمادوش	SIDI HAMADOUCHE	SIDI HAMADOUCHE	22
3926	اميه وانسة	MIH OUANSA	MIH OUANSA	39
1315	عين يوسف	AIN YOUCEF	AIN YOUCEF	13
1442	تيدة	TIDDA	TIDDA	14
4220	بوهارون	BOU HAROUN	BOU HAROUN	42
1501	تيزي وزو	TIZI-OUZOU	TIZI-OUZOU	15
1027	أغبالو	AGHBALOU	AGHBALOU	10
4020	خيران	KHIRANE	KHIRANE	40
313	بريدة	BRIDA	BRIDA	3
1220	الماء الابيض	EL MALABIOD	EL MALABIOD	12
2223	راس الماء	RAS EL MA	RAS EL MA	22
227	الحجاج	EL HADJADJ	EL HADJADJ	2
638	بني مليكش	BENI-MALLIKECHE	BENI-MALLIKECHE	6
230	أولاد بن عبد القادر	OULED BEN ABDELKADER	OULED BEN ABDELKADER	2
1407	سيدي بختي	SIDI BAKHTI	SIDI BAKHTI	14
2807	خبانة	KHOUBANA	KHOUBANA	28
2420	الفجوج	EL FEDJOUDJ	EL FEDJOUDJ	24
2627	أولاد بوعشرة	OULED BOUACHRA	OULED BOUACHRA	26
3606	عين العسل	AIN EL ASSEL	AIN EL ASSEL	36
4324	حمالة	HAMALA	HAMALA	43
2609	القلب الكبير	EL GUELBELKEBIR	EL GUELBELKEBIR	26
2705	عين نويسي	AIN-NOUISSY	AIN-NOUISSY	27
2007	هونت	HOUNET	HOUNET	20
2124	بني بشير	BENI BECHIR	BENI BECHIR	21
102	تامست	TAMEST	TAMEST	1
724	أورلال	OURLAL	OURLAL	7
542	بريكة	BARIKA	BARIKA	5
604	تاوريرت إغيل	TAOURIT IGHIL	TAOURIT IGHIL	6
807	بني عباس	BENI-ABBES	BENI-ABBES	8
3423	أولاد سيدي ابراهيم	OULED SIDI-BRAHIM	OULED SIDI-BRAHIM	34
2404	وادي الزناتي	OUED ZENATI	OUED ZENATI	24
718	عين زعطوط	AIN ZAATOUT	AIN ZAATOUT	7
2002	دوي ثابت	DOUI THABET	DOUI THABET	20
1703	القديد	EL GUEDID	EL GUEDID	17
2422	حمام النبايل	HAMMAM N'BAIL	HAMMAM N'BAIL	24
2715	نكمارية	NEKMARIA	NEKMARIA	27
2732	الحسيان (بني ياحي	HASSIANE	HASSIANE	27
1226	بجن	BEDJENE	BEDJENE	12
1725	دار الشيوخ	DAR CHIOUKH	DAR CHIOUKH	17
3431	بئر قاصد علي	BIR KASDALI	BIR KASDALI	34
1012	حيزر	HAIZER	HAIZER	10
2613	تيزي مهدي	TIZI MAHDI	TIZI MAHDI	26
1639	هراوة	HERRAOUA	HERRAOUA	16
1347	بوحلو	BOUHLOU	BOUHLOU	13
2713	بن عبد المالك رمضان	BENABDELMALEK RAMDANE	BENABDELMALEK RAMDANE	27
235	بني بوعتاب	BENI  BOUATTAB	BENI  BOUATTAB	2
2918	عين فكان	AIN FEKAN	AIN FEKAN	29
1337	سيدي مجاهد	SIDI MEDJAHED	SIDI MEDJAHED	13
3203	ستيتن	STITTEN	STITTEN	32
1023	بودربالة	BOUDERBALA	BOUDERBALA	10
1217	بكارية	BEKKARIA	BEKKARIA	12
2135	الولجة بولبلوط	OULDJA BOULBALOUT	OULDJA BOULBALOUT	21
523	فسديس	FESDIS	FESDIS	5
2663	خمس جوامع	KHAMS DJOUAMAA	KHAMS DJOUAMAA	26
4826	وادي الجمعة	OUED EL DJEMAA	OUED EL DJEMAA	48
4115	مداوروش	M'DAOUROUCHE	M'DAOUROUCHE	41
3609	السوارخ	SOUAREKH	SOUAREKH	36
2617	الكاف الاخضر	KEF LAKHDAR	KEF LAKHDAR	26
4705	متليلي	METLILI	METLILI	47
1646	المعالمة	MAALMA	MAALMA	16
4712	حاسي القارة	HASSI GARA	HASSI GARA	47
3511	سي مصطفى	SI MUSTAPHA	SI MUSTAPHA	35
2136	خناق مايو	KHENAG MAOUNE	KHENAG MAOUNE	21
2411	بن جراح	BENDJARAH	BENDJARAH	24
647	أيت إسماعيل	AIT-SMAIL	AIT-SMAIL	6
4627	الأمير عبد القادر	EMIR ABDELKADER	EMIR ABDELKADER	46
2621	بوشراحيل	BOUCHRAHIL	BOUCHRAHIL	26
1528	أيت محمود	AIT-MAHMOUD	AIT-MAHMOUD	15
4818	سيدي امحمد بن عودة	SIDI M'HAMED BENAOUDA	SIDI M'HAMED BENAOUDA	48
3611	بحيرة الطيور	LAC DES OISEAUX	LAC DES OISEAUX	36
1223	عين الزرقاء	AIN ZERGA	AIN ZERGA	12
2656	بئر بن عابد	BIR BEN LAABED	BIR BEN LAABED	26
101	أدرار	ADRAR	ADRAR	1
222	أبو الحسن	ABOU EL HASSANE	ABOU EL HASSANE	2
646	تامريجت	TAMRIDJET	TAMRIDJET	6
3503	أعفير	AFIR	AFIR	35
3906	قمار	GUEMAR	GUEMAR	39
3815	سيدي بوتوشنت	SIDI BOUTOUCHENT	SIDI BOUTOUCHENT	38
3406	بن داود	BEN DAOUD	BEN DAOUD	34
1107	تين زواتين	TIN ZOUATINE	TIN ZOUATINE	11
2114	وادي الزهور	OUED ZHOUR	OUED ZHOUR	21
116	تنركوك	TINERKOUK	TINERKOUK	1
2662	مجبر	MEDJEBAR	MEDJEBAR	26
1313	أولاد ميمون	OULED MIMOUN	OULED MIMOUN	13
1807	الشقفة	CHEKFA	CHEKFA	18
2806	المطارفة	M'TARFA	M'TARFA	28
910	بن خليل	BENKHELIL	BENKHELIL	9
3013	تقرت	TOUGGOURT	TOUGGOURT	30
226	مصدق	MOUSSADEK	MOUSSADEK	2
